system:index,date,rainfall_max,rainfall_mean,rainfall_min,temperature_max,temperature_mean,temperature_min,.geo
0,1981-01,1033.253405,180.307896,0,299.610263,295.3636362,285.9038486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1981-02,316.1371748,60.71176191,0,299.9257883,296.4378466,288.364509,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1981-03,320.7293243,63.50707721,0,301.4025617,297.6006901,289.3264607,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1981-04,283.0231514,79.54464902,0,302.8507316,299.0260669,291.0053405,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1981-05,1005.892987,207.8690026,12.30745506,302.568179,299.0883945,290.9541601,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1981-06,1014.761049,328.552708,66.56023693,301.624838,298.3964925,291.0319181,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1981-07,771.4989662,272.0927905,48.45613182,300.5491879,297.9612937,290.6185186,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1981-08,736.9355128,206.2818548,36.92215443,301.7172096,298.3492052,290.8691386,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1981-09,705.843888,260.7368378,69.737643,300.8138169,298.1402146,290.688901,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1981-10,849.9217243,246.4189473,28.52559119,300.6059714,297.7020533,290.1162279,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1981-11,1204.610361,338.174571,0,300.4159961,297.3089807,289.4789465,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1981-12,697.2832568,204.5191746,0,299.9804266,296.1240809,287.2916954,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1982-01,786.0496893,122.6355803,0,299.7829615,295.5616422,286.1481302,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1982-02,685.1539135,130.4233892,0,299.5582326,296.1760871,287.9620993,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1982-03,651.2838755,148.8370924,0,300.6521895,297.3166423,289.287677,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1982-04,556.4895744,100.6070607,0,301.7003447,298.162066,290.1401776,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1982-05,449.9742966,153.1756408,29.12968159,302.4549998,298.65653,290.8631242,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1982-06,960.4994907,258.1605122,35.24618292,301.4021251,298.3578416,290.7780149,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1982-07,1057.298171,314.1307732,18.8385973,300.694779,297.7740748,290.1078675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1982-08,944.6416116,343.8437086,54.63018417,300.4717086,297.6857207,290.0801648,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1982-09,675.9488955,217.6009223,18.21965218,300.9469221,297.7363684,290.3453677,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1982-10,677.6535873,196.4960101,30.76251483,300.2088444,297.2778456,289.6253221,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1982-11,846.9334011,154.6437082,1.786627293,300.3909349,297.2787191,289.0474263,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1982-12,803.2255001,170.5161054,0,300.4734562,297.0041179,288.7937609,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1983-01,293.3616791,52.6615054,0,300.4960839,296.5284982,287.8696164,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1983-02,207.3201466,22.4478335,0,301.0087179,296.8637813,288.4112448,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1983-03,370.0370789,44.84866259,0,302.3329399,297.946145,289.4235029,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1983-04,106.2776184,19.86281144,0,303.4851708,299.1906546,290.7752288,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1983-05,385.5212364,71.65563268,0,303.2857505,299.7047255,291.2595304,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1983-06,844.9010029,215.0030511,12.3064785,304.2205859,299.1153778,291.3814475,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1983-07,1122.958544,400.4772289,29.66104257,302.5438023,298.2221783,290.555101,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1983-08,1055.316603,277.3058864,60.8592701,301.1704347,298.1960572,290.8817922,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1983-09,714.9441884,274.7600064,96.58019447,301.2453598,298.174738,290.8021523,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1983-10,800.3121929,269.6577576,38.53007692,300.8309158,297.8318662,290.3246863,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1983-11,613.7288074,257.3013379,0,300.4814784,296.9669187,288.6017773,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1983-12,1011.712893,235.7420321,0,299.7071299,295.9802595,287.1190003,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1984-01,1023.199872,241.5573503,0,299.5107228,296.0635238,287.6869005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1984-02,852.4345589,167.2576121,0,300.0078452,296.409008,288.2066739,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1984-03,696.0488014,180.9779509,0,301.0811664,297.4048498,289.4546281,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1984-04,394.4428778,125.0293924,11.98472881,302.1860803,298.3038349,290.6856707,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1984-05,585.3464563,194.8866528,41.26226616,301.1157232,298.3278841,290.5241521,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1984-06,1483.718685,418.7254838,29.28030539,301.1142182,298.0781006,290.6702404,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1984-07,617.0897317,241.7855564,61.00512743,300.6527905,297.8962474,290.4428454,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1984-08,1020.645164,347.636776,68.39399958,301.1489557,297.809995,290.3741347,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1984-09,860.936142,229.9481864,61.86055231,300.2955017,297.6192208,290.2036153,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1984-10,963.9208016,373.4919835,38.26337862,300.0837701,297.2200042,289.7682354,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1984-11,1100.133812,259.6694656,1.36952278,300.4748093,297.1949722,288.9624856,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1984-12,760.015564,163.348261,0,299.9687103,296.4572462,287.9345543,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1985-01,635.4078274,115.0683086,0,299.6833632,295.8309567,287.0624427,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1985-02,463.8699455,95.39973514,0,300.7869009,297.2432868,289.4192338,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1985-03,362.2399368,88.40057558,0,301.6293462,297.7969913,289.5075541,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1985-04,871.6330242,192.1348285,5.179947853,301.8335657,298.1860417,290.4049416,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1985-05,538.7569551,160.2685815,19.42109585,302.1856215,298.5929368,290.7719449,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1985-06,1421.229336,378.8001929,47.82490826,301.364966,298.2954722,290.786529,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1985-07,731.0250435,274.9736531,17.34687889,300.5113194,297.5541787,289.9596036,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1985-08,809.9124675,240.3304481,24.87373877,301.0925542,297.9827287,290.2482975,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1985-09,966.9739799,338.4376748,110.2137302,300.0375333,297.4779883,290.114386,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1985-10,809.837698,346.3943723,67.52187324,300.2287711,297.4575619,289.9217,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1985-11,1226.283356,228.712338,0,300.2667758,297.2767235,289.2367085,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1985-12,790.4531906,194.6573624,0,299.7577798,296.2539112,287.5436816,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,1986-01,1040.874639,197.6011594,0,299.6714823,295.6103615,286.5644595,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,1986-02,478.391367,100.054948,0,299.7187883,295.7522809,286.9910894,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1986-03,833.1837416,155.5226431,0,300.7734374,296.9202222,288.5598799,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,1986-04,793.402277,111.8752221,0,302.0509491,298.3152413,290.3465573,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,1986-05,885.8769021,208.6470238,27.54700232,301.747542,298.8857371,291.0650928,"{""type"":""MultiPoint"",""coordinates"":[]}"
